id,assigned_location
1,Vidienas apgabals
2,Latvija
3,Rīga
4,Rīga
5,Rīga
6,Rīga
7,Rīga
8,Rīga
9,Rīga
10,Rīga
11,Rīga
12,Rīga
13,Rīga
14,Rīga
15,Rīga
16,Rīga
17,Rīga
18,Rīga
19,Rīga
20,Jelgava
21,Rīga
22,Rīga
23,Ventspils
24,Rīga
25,Rīga
26,Rīga
27,Rīga
28,Ventspils
29,Ventspils
30,Rīga
31,Rīga
32,Rīga
33,Rīga
34,Rīga
35,Rīga
36,Rīga
37,Rīga
38,Rīga
39,Rīga
40,Rīga
41,Latvija
42,Rīga
43,Rīga
44,Rīga
45,Rīga
46,Rīga
47,Rīga
48,Rīga
49,Rīga
50,Daugavpils
51,Rīga
52,Rīga
53,Ventspils
54,Latvija
55,Latvija
56,Daugavpils
57,Rīga
58,Rīga
59,Rīga
60,Rīga
61,Rīga
62,Rīga
63,Rīga
64,Rīga
65,Rīga
66,Rīga
67,Rīga
68,Rīga
69,Rīga
70,Rīga
71,Rīga
72,Rīga
73,Rīga
74,Rīga
75,Rīga
76,Rīga
77,Rīga
78,Rīga
79,Rīga
80,Bēne
81,Rīga
82,Rīga
83,Rīga
84,Rīga
85,Rīga
86,Rīga
87,Rīga
88,Rīga
89,Rīga
90,Rīga
91,Rīga
92,Rīga
93,Daugavpils
94,Rīga
95,Rīga
96,Rīga
97,Rīga
98,Rīga
99,Rīga
100,Rīga
101,Sloka
102,Rīga
103,Rīga
104,Rīga
105,Rīga
106,Rīga
107,Rīga
108,Rīga
109,Rīga
110,Rīga
111,Rīga
112,Rīga
113,Rīga
114,Rīga
115,Rīga
116,Rīga
117,Rīga
118,Rīga
119,Rīga
120,Rīga
121,Rīga
122,Rīga
123,Rīga
124,Rīga
125,Rīga
126,Rīga
127,Rīga
128,Rīga
129,Rīga
130,Rīga
131,Rīga
132,Rīga
133,Daugavpils
134,Daugavpils
135,Rīga
136,Rīga
137,Rīga
138,Rīga
139,Rīga
140,Rīga
141,Daugavpils
142,Rīga
143,Rīga
144,Rīga
145,Rīga
146,Rīga
147,Latvija
148,Rīga
149,Rīga
150,Rīga
151,Rīga
152,Rīga
153,Rīga
154,Rīga
155,Bauska
156,Latgales apgabals
157,Ventspils
158,Rīga
159,Rīga
160,Rīga
161,Rīga
162,Rīga
163,Rīga
164,Rīga
165,Rīga
166,Rīga
167,Rīga
168,Rīga
169,Latvija
170,Daugavpils
171,Daugavpils
172,Rīga
173,Rīga
174,Rīga
175,Rīga
176,Rīga
177,Latgales apgabals
178,Rīga
179,Rīga
180,Rīga
181,Rīga
182,Rīga
183,Rīga
184,Latvija
185,Rīga
186,Latvija
187,Rīga
188,Rīga
189,Rīga
190,Rīga
191,Rīga
192,Rīga
193,Rīga
194,Rīga
195,Daugavpils
196,Rīga
197,Rīga
198,Rīga
199,Rīga
200,Rīga
201,Latgales apgabals
202,Rīga
203,Rīga
204,Jelgava
205,Daugavpils
206,Rīga
207,Rīga
208,Latvija
209,Jelgava
210,Jelgava
211,Rīga
212,Rīga
213,Latgales apgabals
214,Daugavpils
215,Rīga
216,Rīga
217,Latgales apgabals
218,Latgales apgabals
219,Rīga
220,Latgales apgabals
221,Latgales apgabals
222,Rīga
223,Latgales apgabals
224,Rīga
225,Malienas apgabals
226,Rīga
227,Rīga
228,Latgales apgabals
229,Rīga
230,Latvija
231,Rīga
232,Rīga
233,Rīga
234,Latgales apgabals
235,Rīga
236,Rīga
237,Rīga
238,Ventspils
239,Rīga
240,Rīga
241,Latgales apgabals
242,Rīga
243,Latgales apgabals
244,Rīga
245,Rīga
246,Latvija
247,Latgales apgabals
248,Rīga
249,Rīga
250,Auce
251,Rīga
