record_id;base_id;id;file_name;title;author;date;print_run;typography_name;production_method;original_language;text_language;is_translation;note;has_text;record_type;text_word_count;text_char_count_with_spaces;text_char_count_without_spaces;source
1;1;1;lclc-n001-LKP_Vidienas_org_LKJS_Vidienas_org-5000-[1934-01-11…].txt;LKP un LKJS Vidienas organizācijas lapiņa par darbaļaužu smago stāvokli kapitālistiskajās zemēs, ar aicinājumu darbaļaudīm organizēties cīņai par savām ekonomiskajām un politiskajām prasībām, par Padomju Latviju;LKP Vidienas organizācija un LKJS Vidienas organizācija;[1934-01-11…];5000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;466;3486;3007;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 9–10.
2;2;2;lclc-n002-LKP_soldiers_org-1500-[1934-01-11…].txt;No LKP kareivju organizācijas lapiņas ar kareivju prasībām un aicinājumu izdienējušiem kareivjiem kopā ar revolucionāro strādniecību cīnīties par padomju varu Latvijā;LKP kareivju organizācija;[1934-01-11…];1500;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;314;2418;2092;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 11–12.
3;3;3;lclc-n003-SP_CK-unk-[…1934-01-21].txt;Latvijas Sarkanās Palīdzības CK lapiņa, kas veltīta V. I. Ļeņina, K. Lībknehta un R. Luksemburgas piemiņai, ar aicinājumu darbaļaudīm cīnīties pret fašisma draudiem un palīdzēt politieslodzītajiem;Latvijas Sarkanās Palīdzības CK;[…1934-01-21];unk;«Sarkanās Palīdzības» spiestuve;rotator;Latvian;Latvian;False;;TRUE;text;742;5552;4807;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 12–14.
4;4;4a;lclc-n004a-LKP_CK-3000-[…1934-01-30].txt;LKP CK aicinājums bezdarbniekiem organizēties cīņai par ekonomiskā un tiesiskā stāvokļa uzlabošanu;LKP CK;[…1934-01-30];3000;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text_variant;950;7306;6325;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 15–17.
5;4;4b;lclc-n004b-LKP_CK-10000-1934-02.txt;LKP CK aicinājums bezdarbniekiem organizēties cīņai par ekonomiskā un tiesiskā stāvokļa uzlabošanu;LKP CK;1934-02;10000;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text_variant;950;7306;6325;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 15–17.
6;5;5;lclc-n005-LKP_CK_LKJS_CK-5000-1934-01.txt;No LKP CK un LKJS CK uzsaukuma darba zemniekiem, būdniekiem, rentniekiem un pusgraudniekiem prasīt parādu likvidēšanu, nodokļu atcelšanu un ūtrupju izbeigšanu;LKP CK un LKJS CK;1934-01;5000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;734;5537;4795;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 18–20.
7;6;6;lclc-n006-LKJS_Riga_committee-3000-1934-01.txt;LKJS Rīgas komitejas lapiņa ar tekstilrūpniecības strādnieku prasībām un aicinājumu Rīgas tekstilrūpniecības strādniekiem uzsākt vispārēju streiku par savu prasību apmierināšanu ;LKJS Rīgas komiteja;1934-01;3000;Spartaks;rotator;Latvian;Latvian;False;;TRUE;text;581;4497;3892;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 20–22.
8;7;7;lclc-n007-SP_Riga_committee-unk-1934-01.txt;Latvijas Sarkanās Palīdzības Rīgas komitejas lapiņa par buržuāzijas teroru pret revolucionāro strādniecību, ar aicinājumu darbaļaudīm palīdzēt apcietinātajiem revolucionāriem;Latvijas Sarkanās Palīdzības Rīgas komiteja;1934-01;unk;«Sarkanās Palīdzības» spiestuve;rotator;Latvian;Latvian;False;;TRUE;text;658;4876;4198;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 23–24.
9;8;8;lclc-n008-SP_Riga_committee-unk-1934-01.txt;Latvijas Sarkanās Palīdzības Rīgas komitejas lapiņa LKJS CK sekretāra E. Smiltēna piemiņai;Latvijas Sarkanās Palīdzības Rīgas komiteja;1934-01;unk;«Sarkanās Palīdzības» spiestuve;rotator;Latvian;Latvian;False;;TRUE;text;121;883;758;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 25.
10;9;9;lclc-n009-LKJS_CK-3000-1934-02-10.txt;No LKJS CK uzsaukuma darbaļaudīm piedalīties tautas nobalsošanā par sociāldemokrātu ierosināto likumprojektu par pilnīgu apdrošināšanu bezdarba, darba nespējas un vecuma gadījumā un uzstādīt prasības par bezdarbnieku stāvokļa uzlabošanu;LKJS CK;1934-02-10;3000;Spartaks;typographic;Latvian;Latvian;False;;TRUE;text;711;5295;4574;Latvijas KP CK Partijas vēstures institūts — PSKP CK Marksisma-ļeņinisma institūta filiāle, LKP, LKJS un Sarkanās Palīdzības revolucionārās lapiņas: 1920.–1940. 3. daļa (Latvijas Valsts izdevniecība, 1963), 26–28.
