id ,manual_topic ,manual_topic_2
1,Labour,
2,Other,
3,Aid,
4a,Labour,
4b,Labour,
5,Labour,
6,Labour,
7,Aid,
8,Aid,
9,Labour,
10,Labour,
11,Labour,
12,Labour,
13,Youth,Labour
14,Youth,Foreign/War
15,Youth,Other
16,Labour,
17,Women,Labour
18,Aid,Women
19,Labour,
20,Aid,
21,Aid,Labour
22,Aid,
23,Youth,Foreign/War
24,Foreign/War,Youth
25,Aid,
26,Foreign/War,
27,Youth,Labour
28,Labour,Foreign/War
29,Labour,
30,Labour,
31,Labour,
32,Labour,
33,Women,
34,Labour,
35,Foreign/War,Labour
36,Foreign/War,Labour
37,Foreign/War,Labour
38,Foreign/War,Labour
39,Labour,
40,Labour,
41,Labour,
42,Labour,
43,Labour,
44,Labour,
45,Labour,
46,Foreign/War,Youth
47,Foreign/War,
48,Foreign/War,
49,Labour,
50,Foreign/War,
51,Foreign/War,
52,Foreign/War,
53,Foreign/War,
54,Labour,
55,Labour,
56,Other,
57,Youth,
58,Youth,Foreign/War
59,Aid,
60,Other,
61,Youth,
62,Youth,
63,Labour,
64,Youth,
65,Youth,
66,Foreign/War ,
67,Aid,
68,Labour,
69,Labour,
70,Other,
71,Labour,
72,Youth,
73,Youth,
74,Youth,
75,Youth,
76,Foreign/War ,Labour
77,Other,
78,Labour,
79,Aid,
80,Labour,
81,Labour,
82,Other,
83,Youth,
84,Youth,
85,Other,
86,Aid,
87,Aid,
88,Labour,
89,Youth,
90,Labour,
91,Labour,
92,Labour,
93,Other,
94,Aid,
95,Other,
96,Labour,
97,Labour,
98,Labour,
99,Aid,
100a,Aid,Other
100b,Aid,Other
101,Labour,
102,Foreign/War ,
103,Labour,
104,Youth,Labour
105,Aid,
106,Aid,
107,Labour,
108,Labour,
109,Aid,
110,Aid,
111,Labour,
112,Aid,
113,Aid,
114,Foreign/War ,
115,Aid,
116,Labour,
117,Labour,
118,Labour,
119,Aid,
120,Aid,
121,Women,
122,Women,
123,Women,
124,Other,
125,Aid,
126,Youth,
127,Aid,
128,Aid,
129,Labour,
130a,Labour,
130b,Labour,
131,Youth,
132,Labour,
133,Youth,Labour
134,Labour,
135,Labour,
136,Youth,
137,Other,
138,Women,
139,Youth,Other
140,Labour,
141,Labour,
142,Labour,
143,Aid,
144,Youth,
145,Labour,
146,Aid,
147,Foreign/War,
148,Labour,
149,Foreign/War,
150,Labour,
151,Labour,
152,Foreign/War,Youth
153,Foreign/War,
154,Foreign/War,
155,Foreign/War,
156,Labour,
157,Labour,
158,Youth,
159,Aid,
160a,Foreign/War,
160b,Foreign/War,
161,Foreign/War,
162,Foreign/War,
163,Foreign/War,Other
164a,Other,
164b,Other,
165,Aid,
166,Aid,
167,Labour,
168,Foreign/War,
169,Labour,Other
170,Labour,
171,Foreign/War,
172,Aid,
173a,Youth,
173b,Youth,
174,Foreign/War,
175,Foreign/War,
176,Youth,
177,Labour,
178,Other,
179,Other,
180,Other,Labour
181,Youth,
182,Aid,
183,Aid,
184,Youth,
185,Other,
186,Foreign/War,
187,Spain,
188,Spain,
189,Spain,Aid
190a,Spain,
190b,Spain,
191,Labour,
192,Youth,
193,Spain,
194a,Labour,
194b,Labour,
195,Aid,
196,Spain,
197,Youth,
198,Foreign/War,
199a,Labour,
199b,Labour,
200,Labour,
201a,Youth,
201b,Youth,
202a,Labour,
202b,Labour,
203,Youth,Labour
204,Foreign/War,
205,Labour,
206,Labour,
207,Foreign/War,
208a,Foreign/War,Other
208b,Foreign/War,Other
209,Foreign/War,
210,Foreign/War,Spain
211,Foreign/War,Spain
212,Labour,
213,Youth,Labour
214,Youth,Labour
215,Foreign/War,
216a,Foreign/War,Labour
216b,Foreign/War,Labour
217,Foreign/War,
218,Other,
219a,Foreign/War,
219b,Foreign/War,
220,Labour,
221,Foreign/War,
222,Foreign/War,
223,Foreign/War,
224,Foreign/War,
225,Labour,
226,Foreign/War,
227,Labour,
228,Foreign/War,
229,Foreign/War,
230,Foreign/War,
231,Youth,
232a,Foreign/War,
232b,Foreign/War,
233,Foreign/War,
234,Foreign/War,
235,Youth,
236,Foreign/War,
237,Foreign/War,
238,Labour,
239,Foreign/War,
240,Labour,
241,Labour,
242,Labour,
243,Foreign/War,
244,Foreign/War,
245,Youth,Labour
246,Labour,
247,Foreign/War,
248,Labour,Other
249,Labour,Other
250,Labour,
251,Foreign/War,
