file,id,title,author,date,print_run,typography_name,N_tokens,V_lemmas,TTR,RTTR,CTTR,Herdan_C,Maas_a2,Hapax,HapaxShare
revl-n001-LKP_LKJS_Vidienas_org-5000-[1934-01-11…].txt,1,"LKP un LKJS Vidienas organizācijas lapiņa par darbaļaužu smago stāvokli kapitālistiskajās zemēs, ar aicinājumu darbaļaudīm organizēties cīņai par savām ekonomiskajām un politiskajām prasībām, par Padomju Latviju",LKP Vidienas organizācija un LKJS Vidienas organizācijas,[1934-01-11…],5000,Spartaks,463,278,0.6004319654427646,12.919755663056812,9.13564684062077,0.9168900904356784,0.013540828523645515,206,0.7410071942446043
revl-n002-LKP_soldiers_org-1500-[1934-01-11…].txt,2,No LKP kareivju organizācijas lapiņas ar kareivju prasībām un aicinājumu izdienējušiem kareivjiem. kopā ar revolucionāro strādniecību cīnīties par padomju varu Latvijā,LKP kareivju organizācija,[1934-01-11…],1500,Spartaks,310,207,0.667741935483871,11.756809968914242,8.313320054140863,0.9296002066615132,0.01227210077513054,161,0.7777777777777778
revl-n003-SP_CK-unk-[…1934-01-21].txt,3,"Latvijas Sarkanās Palīdzības CK lapiņa, kas veltīta V. I. Ļeņina, K. Lībknehta un R. Luksemburgas piemiņai, ar aicinājumu darbaļaudīm cīnīties pret fašisma draudiem un palīdzēt politieslodzītajiem",Latvijas Sarkanās Palīdzības Centrālā komiteja,[…1934-01-21],?,«Sarkanās Palīdzības» spiestuve,712,339,0.476123595505618,12.704562128479852,8.983482033053901,0.8870175089211149,0.01720175865797497,209,0.616519174041298
revl-n004a-LKP_CK-3000-[…1934-01-30].txt,4a,LKP CK aicinājums bezdarbniekiem organizēties cīņai par ekonomiskā un tiesiskā stāvokļa uzlabošanu,LKP CK,[…1934-01-30],3000,Spartaks,945,412,0.43597883597883597,13.402361001826522,9.476900348301665,0.878829489069433,0.017686066310122622,259,0.6286407766990292
revl-n004b-LKP_CK-10000-[…1934-01-30].txt,4b,LKP CK aicinājums bezdarbniekiem organizēties cīņai par ekonomiskā un tiesiskā stāvokļa uzlabošanu,LKP CK,1934-02,10000,Spartaks,945,412,0.43597883597883597,13.402361001826522,9.476900348301665,0.878829489069433,0.017686066310122622,259,0.6286407766990292
revl-n005-LKP_CK_LKJS_CK-5000-1934-01.txt,5,"No LKP CK un LKJS CK uzsaukuma darba zemniekiem, būdniekiem, rentniekiem un pusgraudniekiem prasīt parādu likvidēšanu, nodokļu atcelšanu un ūtrupju izbeigšanu",LKP CK; LKJS CK,1934-01,5000,Spartaks,732,385,0.5259562841530054,14.230009465875527,10.062136189669346,0.9025836019992681,0.014769502683500491,275,0.7142857142857143
revl-n006-LKJS_Riga_committee-3000-1934-01.txt,6,LKJS Rīgas komitejas lapiņa ar tekstilrūpniecības strādnieku prasībām un aicinājumu Rīgas tekstilrūpniecības strādniekiem uzsākt vispārēju streiku par savu prasību apmierināšanu,LKJS Rīgas komiteja,1934-01,3000,Spartaks,572,292,0.5104895104895105,12.209133346103524,8.633160981440605,0.8940982092179096,0.016679709000838205,196,0.6712328767123288
revl-n007-SP_Riga_committee-unk-1934-01.txt,7,"Latvijas Sarkanās Palīdzības Rīgas komitejas lapiņa par buržuāzijas teroru pret revolucionāro strādniecību, ar aicinājumu darbaļaudīm palīdzēt apcietinātajiem revolucionāriem",Latvijas Sarkanās Palīdzības Rīgas komiteja,1934-01,?,«Sarkanās Palīdzības» spiestuve,650,304,0.4676923076923077,11.92386101640159,8.431442982623484,0.8826697693141903,0.01811498090652084,199,0.6546052631578947
revl-n008-SP_Riga_committee-unk-1934-01.txt,8,Latvijas Sarkanās Palīdzības Rīgas komitejas lapiņa LKJS CK sekretāra E. Smiltēna piemiņai,Latvijas Sarkanās Palīdzības Rīgas komiteja,1934-01,?,«Sarkanās Palīdzības» spiestuve,119,85,0.7142857142857143,7.791937224739796,5.509731650193397,0.9295954086337813,0.014731695355371659,59,0.6941176470588235
revl-n009-LKJS_CK-3000-1934-02-10.txt,9,"No LKJS CK uzsaukuma darbaļaudīm piedalīties tautas nobalsošanā par sociāldemokrātu ierosināto likumprojektu par pilnīgu apdrošināšanu bezdarba, darba nespējas un vecuma gadījumā un uzstādīt prasības par bezdarbnieku stāvokļa uzlabošanu",LKJS CK,1934-02-10,3000,Spartaks,702,316,0.45014245014245013,11.926651426323076,8.433416100401256,0.8782118857129976,0.018582446109719857,197,0.6234177215189873
