year_month,year,month_number,total_print_run,n_leaflets,mean_print_run,median_print_run,min_print_run,max_print_run,std_print_run,Q1,Q3,IQR,n_outliers,outliers,change_from_prev_month,pct_change_from_prev_month,cumulative_year,cumulative_total
1934-01,1934,1,32700,12,2725.0,1250.0,200,10000,2679.9,1000,3500,2500,1,[10000],0,0,32700,32700
1934-02,1934,2,21400,11,1945.5,1000.0,200,6000,1743.7,1000,3000,2000,0,[],-11300,-34.6,54100,54100
1934-03,1934,3,17500,8,2187.5,1000.0,1000,5000,1579.9,1000,3625,2625,0,[],-3900,-18.2,71600,71600
1934-04,1934,4,42400,16,2650.0,1000.0,100,10000,3104.8,1000,3000,2000,2,"[10000, 10000]",24900,142.3,114000,114000
1934-05,1934,5,42700,21,2033.3,1000.0,200,10000,2132.1,1000,2000,1000,3,"[5000, 4000, 10000]",300,0.7,156700,156700
1934-06,1934,6,5550,6,925.0,1000.0,250,2000,580.1,475,1000,525,1,[2000],-37150,-87.0,162250,162250
1934-07,1934,7,38100,20,1905.0,1000.0,100,5000,1331.0,1000,3000,2000,0,[],32550,586.5,200350,200350
1934-08,1934,8,19050,12,1587.5,1000.0,50,4000,1031.2,1000,2000,1000,1,[4000],-19050,-50.0,219400,219400
1934-09,1934,9,18750,11,1704.5,1000.0,100,10000,2677.2,500,1250,750,1,[10000],-300,-1.6,238150,238150
1934-10,1934,10,26130,17,1537.1,1000.0,30,6000,1586.1,500,2000,1500,2,"[6000, 5000]",7380,39.4,264280,264280
1934-11,1934,11,46000,13,3538.5,3000.0,1000,10000,2405.6,2000,5000,3000,1,[10000],19870,76.0,310280,310280
1934-12,1934,12,23470,13,1805.4,1500.0,70,10000,2506.8,200,1500,1300,1,[10000],-22530,-49.0,333750,333750
1935-01,1935,1,29350,14,2096.4,2000.0,100,5000,1712.2,625,2750,2125,0,[],5880,25.1,29350,363100
1935-02,1935,2,42650,16,2665.6,1000.0,50,10000,2675.0,1000,4000,3000,1,[10000],13300,45.3,72000,405750
1935-03,1935,3,32000,10,3200.0,3000.0,1000,5000,1400.0,2000,4750,2750,0,[],-10650,-25.0,104000,437750
1935-04,1935,4,30600,9,3400.0,1000.0,100,15000,4470.9,500,4000,3500,1,[15000],-1400,-4.4,134600,468350
1935-05,1935,5,25000,7,3571.4,4000.0,1000,6000,1590.8,2500,4500,2000,0,[],-5600,-18.3,159600,493350
1935-06,1935,6,5000,2,2500.0,2500.0,2000,3000,500.0,2250,2750,500,0,[],-20000,-80.0,164600,498350
1935-07,1935,7,27800,9,3088.9,3000.0,800,6000,2048.5,1000,5000,4000,0,[],22800,456.0,192400,526150
1935-08,1935,8,2500,2,1250.0,1250.0,1000,1500,250.0,1125,1375,250,0,[],-25300,-91.0,194900,528650
1935-09,1935,9,16000,3,5333.3,5000.0,3000,8000,2054.8,4000,6500,2500,0,[],13500,540.0,210900,544650
1935-10,1935,10,34500,5,6900.0,10000.0,1000,10000,3878.1,3500,10000,6500,0,[],18500,115.6,245400,579150
1935-11,1935,11,13000,3,4333.3,5000.0,2000,6000,1699.7,3500,5500,2000,0,[],-21500,-62.3,258400,592150
1935-12,1935,12,4000,1,4000.0,4000.0,4000,4000,0.0,4000,4000,0,0,[],-9000,-69.2,262400,596150
1936-02,1936,2,9000,3,3000.0,3000.0,2000,4000,816.5,2500,3500,1000,0,[],5000,125.0,9000,605150
1936-03,1936,3,5000,3,1666.7,1000.0,1000,3000,942.8,1000,2000,1000,0,[],-4000,-44.4,14000,610150
1936-04,1936,4,39000,6,6500.0,7500.0,1000,10000,3685.6,3500,10000,6500,0,[],34000,680.0,53000,649150
1936-05,1936,5,22000,4,5500.0,5500.0,1000,10000,3640.1,2500,8500,6000,0,[],-17000,-43.6,75000,671150
1936-06,1936,6,9000,2,4500.0,4500.0,3000,6000,1500.0,3750,5250,1500,0,[],-13000,-59.1,84000,680150
1936-07,1936,7,24000,4,6000.0,5500.0,3000,10000,2549.5,4500,7000,2500,0,[],15000,166.7,108000,704150
1936-08,1936,8,2000,1,2000.0,2000.0,2000,2000,0.0,2000,2000,0,0,[],-22000,-91.7,110000,706150
1936-09,1936,9,13000,3,4333.3,5000.0,3000,5000,942.8,4000,5000,1000,0,[],11000,550.0,123000,719150
1936-10,1936,10,19000,3,6333.3,5000.0,4000,10000,2624.7,4500,7500,3000,0,[],6000,46.2,142000,738150
1936-11,1936,11,10200,2,5100.0,5100.0,200,10000,4900.0,2650,7550,4900,0,[],-8800,-46.3,152200,748350
1937-01,1937,1,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-9200,-90.2,1000,749350
