year_month,year,month_number,total_print_run,n_leaflets,mean_print_run,median_print_run,min_print_run,max_print_run,std_print_run,Q1,Q3,IQR,n_outliers,outliers,change_from_prev_month,pct_change_from_prev_month,cumulative_year,cumulative_total
1937-01,1937,1,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],0,0,1000,1000
1937-04,1937,4,30000,3,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],29000,2900.0,31000,31000
1937-06,1937,6,11000,4,2750.0,3000.0,1000,4000,1299.0,1750,4000,2250,0,[],-19000,-63.3,42000,42000
1937-07,1937,7,15000,4,3750.0,4000.0,2000,5000,1089.7,3500,4250,750,1,[2000],4000,36.4,57000,57000
1937-08,1937,8,15000,1,15000.0,15000.0,15000,15000,0.0,15000,15000,0,0,[],0,0.0,72000,72000
1937-09,1937,9,200,1,200.0,200.0,200,200,0.0,200,200,0,0,[],-14800,-98.7,72200,72200
1937-10,1937,10,8000,4,2000.0,1000.0,1000,5000,1732.1,1000,2000,1000,1,[5000],7800,3900.0,80200,80200
1937-11,1937,11,10000,2,5000.0,5000.0,5000,5000,0.0,5000,5000,0,0,[],2000,25.0,90200,90200
1938-01,1938,1,11000,2,5500.0,5500.0,1000,10000,4500.0,3250,7750,4500,0,[],1000,10.0,11000,101200
1938-02,1938,2,5500,2,2750.0,2750.0,500,5000,2250.0,1625,3875,2250,0,[],-5500,-50.0,16500,106700
1938-03,1938,3,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],4500,81.8,26500,116700
1938-04,1938,4,21000,3,7000.0,10000.0,1000,10000,4242.6,5500,10000,4500,0,[],11000,110.0,47500,137700
1938-05,1938,5,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-20000,-95.2,48500,138700
1938-06,1938,6,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],9000,900.0,58500,148700
1938-08,1938,8,5000,1,5000.0,5000.0,5000,5000,0.0,5000,5000,0,0,[],-5000,-50.0,63500,153700
1938-09,1938,9,7000,2,3500.0,3500.0,2000,5000,1500.0,2750,4250,1500,0,[],2000,40.0,70500,160700
1938-10,1938,10,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],3000,42.9,80500,170700
1938-11,1938,11,500,1,500.0,500.0,500,500,0.0,500,500,0,0,[],-9500,-95.0,81000,171200
1939-01,1939,1,11000,2,5500.0,5500.0,1000,10000,4500.0,3250,7750,4500,0,[],10500,2100.0,11000,182200
1939-03,1939,3,8000,3,2666.7,2000.0,1000,5000,1699.7,1500,3500,2000,0,[],-3000,-27.3,19000,190200
1939-04,1939,4,12000,2,6000.0,6000.0,6000,6000,0.0,6000,6000,0,0,[],4000,50.0,31000,202200
1939-05,1939,5,7500,3,2500.0,1500.0,1000,5000,1779.5,1250,3250,2000,0,[],-4500,-37.5,38500,209700
1939-09,1939,9,7000,3,2333.3,1000.0,1000,5000,1885.6,1000,3000,2000,0,[],-500,-6.7,45500,216700
1939-10,1939,10,6000,2,3000.0,3000.0,1000,5000,2000.0,2000,4000,2000,0,[],-1000,-14.3,51500,222700
1939-11,1939,11,9500,6,1583.3,1000.0,200,6000,2003.7,475,1000,525,1,[6000],3500,58.3,61000,232200
1939-12,1939,12,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],500,5.3,71000,242200
1940-01,1940,1,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-9000,-90.0,1000,243200
1940-04,1940,4,4000,2,2000.0,2000.0,1000,3000,1000.0,1500,2500,1000,0,[],3000,300.0,5000,247200
1940-05,1940,5,3000,3,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-1000,-25.0,8000,250200
1940-06,1940,6,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-2000,-66.7,9000,251200
