id ,manual_topic ,manual_topic_2,manual_topic_3,year
1,Labour,,,1934
2,Other,,Army/Soldiers,1934
3,Aid,,,1934
4a,Labour,,,1934
4b,Labour,,,1934
5,Labour,,,1934
6,Labour,,,1934
7,Aid,,,1934
8,Aid,,,1934
9,Labour,,,1934
10,Labour,,,1934
11,Labour,,,1934
12,Labour,,,1934
13,Youth,Labour,,1934
14,Youth,Foreign/War,,1934
15,Youth,Other,Celebration,1934
16,Labour,,,1934
17,Women,Labour,,1934
18,Aid,Women,,1934
19,Labour,,,1934
20,Aid,,Jail,1934
21,Aid,Labour,,1934
22,Aid,,,1934
23,Youth,Foreign/War,Army/Soldiers,1934
24,Foreign/War,Youth,,1934
25,Aid,,,1934
26,Foreign/War,,,1934
27,Youth,Labour,,1934
28,Labour,Foreign/War,,1934
29,Labour,,,1934
30,Labour,,,1934
31,Labour,,,1934
32,Labour,,,1934
33,Women,,,1934
34,Labour,,,1934
35,Foreign/War,Labour,Coup,1934
36,Foreign/War,Labour,Coup,1934
37,Foreign/War,Labour,Coup,1934
38,Foreign/War,Labour,Coup,1934
39,Labour,,,1934
40,Labour,,,1934
41,Labour,,,1934
42,Labour,,,1934
43,Labour,,,1934
44,Labour,,,1934
45,Labour,,,1934
46,Foreign/War,Youth,,1934
47,Foreign/War,,,1934
48,Foreign/War,,,1934
49,Labour,,,1934
50,Foreign/War,,,1934
51,Foreign/War,,,1934
52,Foreign/War,,,1934
53,Foreign/War,,,1934
54,Labour,,,1934
55,Labour,,,1934
56,Other,,Army/Soldiers,1934
57,Youth,,,1934
58,Youth,Foreign/War,,1934
59,Aid,,Jail,1934
60,Other,,Lazar Bank,1934
61,Youth,,,1934
62,Youth,,,1934
63,Labour,,,1934
64,Youth,,,1934
65,Youth,,,1934
66,Foreign/War ,,,1934
67,Aid,,Repression,1934
68,Labour,,,1934
69,Labour,,,1934
70,Other,,Provocator,1934
71,Labour,,,1934
72,Youth,,,1934
73,Youth,,,1934
74,Youth,,,1934
75,Youth,,,1934
76,Foreign/War ,Labour,,1934
77,Other,,,1934
78,Labour,,,1934
79,Aid,,Repression,1934
80,Labour,,,1934
81,Labour,,,1934
82,Other,,Celebration,1934
83,Youth,,,1934
84,Youth,,,1934
85,Other,,General,1934
86,Aid,,,1934
87,Aid,,,1934
88,Labour,,,1934
89,Youth,,,1934
90,Labour,,,1934
91,Labour,,,1934
92,Labour,,,1934
93,Other,,Latgale,1934
94,Aid,,,1934
95,Other,,Celebration,1935
96,Labour,,,1935
97,Labour,,,1935
98,Labour,,,1935
99,Aid,,Repression,1935
100a,Aid,Other,Telman,1935
100b,Aid,Other,Telman,1935
